City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Hermanus,ZA,57.0,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
4,Calvinia,ZA,70.63,few clouds,-31.4707,19.776,Die Lemoenhuis
5,Atuona,PF,80.96,few clouds,-9.8,-139.0333,Villa Enata
6,Rumphi,MW,60.44,broken clouds,-11.0186,33.8575,Finst Rumphi Earthbag House Lodge
7,Broome,US,70.0,clear sky,42.2506,-75.833,Chenango Valley State Park
8,Bud,US,64.4,scattered clouds,39.446999999999996,-86.1758,Ted McQuinn Trust
9,Viedma,AR,71.6,clear sky,-40.8135,-62.9967,Hotel Cristal
12,Port Macquarie,AU,59.0,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
13,Butaritari,KI,82.15,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
14,Saint George,US,82.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
15,Napier,NZ,64.0,overcast clouds,-39.4833,176.9167,The Nautilus Napier
17,Ponta Do Sol,PT,62.01,overcast clouds,32.6667,-17.1,Hotel do Campo
18,Port Elizabeth,ZA,60.8,overcast clouds,-33.918,25.5701,39 On Nile Guest House
19,Urrao,CO,64.67,overcast clouds,6.3152,-76.1342,Finca Hotel Riomanso
22,Rikitea,PF,76.5,few clouds,-23.1203,-134.9692,Pension Maro'i
23,Makakilo City,US,77.0,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
24,Paragominas,BR,77.63,light rain,-2.9667,-47.4833,.
25,Hobart,AU,51.8,scattered clouds,-42.8794,147.3294,Mantra on Collins Hobart
26,Ajdabiya,LY,64.08,overcast clouds,30.7554,20.2263,Almadina Hotel
27,Port Alfred,ZA,66.49,broken clouds,-33.5906,26.891,The Halyards Hotel
28,Bengkulu,ID,75.56,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
30,Vao,NC,77.76,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
31,Kapaa,US,75.2,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
34,Namibe,AO,80.35,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
36,Thompson,CA,53.6,few clouds,55.7435,-97.8558,Burntwood Hotel
37,Dunedin,NZ,51.01,clear sky,-45.8742,170.5036,Scenic Hotel Southern Cross
38,Barcelos,PT,57.99,clear sky,41.5388,-8.6151,Hotel Do Terço
41,Siavonga,ZM,69.89,broken clouds,-16.5382,28.7088,Lavongora Waterfront Lodge
42,Vaini,TO,77.0,scattered clouds,-21.2,-175.2,Keleti Beach Resort
44,Mamallapuram,IN,78.8,few clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
45,Jamestown,US,78.8,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
47,Olean,US,75.2,clear sky,42.0776,-78.4297,Best Western Plus University Inn
49,Jambi,ID,74.26,overcast clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
50,Bredasdorp,ZA,59.0,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
51,Hamilton,US,66.0,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
52,Codrington,AU,56.19,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
53,Ribeira Grande,PT,60.8,broken clouds,38.5167,-28.7,Quinta da Meia Eira
54,Rosetta,EG,62.6,clear sky,31.4044,30.4164,Green Valley
55,Comodoro Rivadavia,AR,62.6,clear sky,-45.8667,-67.5,Austral Hotel
56,Banyo,CM,77.76,broken clouds,6.75,11.8167,Motel JOMBA
57,Eydhafushi,MV,81.37,scattered clouds,5.1033,73.0708,Soneva Fushi
58,Harindanga,IN,82.4,haze,22.0383,88.3214,QARI ARIF BILLAH HOUSE. & THE INTERNATIONAL TAHFIZUL. QURAN MADRASAH MISSAIN
61,Los Llanos De Aridane,ES,69.8,few clouds,28.6585,-17.9182,Valle Aridane
66,Portland,US,55.0,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
67,Oranjestad,AW,82.99,scattered clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
69,Reconquista,AR,82.04,broken clouds,-29.15,-59.65,Grand Hotel
70,Lorengau,PG,81.91,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
72,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
73,Hilo,US,75.2,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
75,Mar Del Plata,AR,64.4,moderate rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
76,Mizdah,LY,55.06,broken clouds,31.4451,12.9801,محمدالمبروك الاريقط
80,San Patricio,US,88.0,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
82,Turbat,PK,78.73,scattered clouds,26.0023,63.044,Mubashar Quarters
83,Libreville,GA,84.2,light rain,0.3925,9.4537,Hotel Re-Ndama
84,Dakar,SN,71.6,clear sky,14.6937,-17.4441,Redface Studios Meublés
86,Dangriga,BZ,87.01,scattered clouds,16.9692,-88.2321,Chaleanor Hotel
87,Tigzirt,DZ,56.95,broken clouds,36.8886,4.1198,Bloc D tazoumbirt (amar)
88,Praia,CV,73.4,clear sky,14.9215,-23.5087,LT Aparthotel
90,Acapulco,MX,87.8,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
92,Chuy,UY,74.28,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
93,Coquimbo,CL,66.2,clear sky,-29.9533,-71.3436,Punto de encuentro
95,Lebu,CL,58.93,clear sky,-37.6167,-73.65,Hostal Las Lilas
96,Maldonado,UY,81.0,clear sky,-34.6667,-54.9167,La Cimarrona
97,Arraial Do Cabo,BR,77.0,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
99,Fortuna,US,57.99,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
100,Acarau,BR,81.09,overcast clouds,-2.8856,-40.12,castelo pizzaria
103,Sao Miguel Do Araguaia,BR,75.65,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
104,Avarua,CK,80.6,broken clouds,-21.2078,-159.775,Paradise Inn
105,Sao Filipe,CV,74.75,clear sky,14.8961,-24.4956,Tortuga B&B
106,East London,ZA,66.74,broken clouds,-33.0153,27.9116,Tu Casa
107,Khartoum,SD,90.0,few clouds,15.5518,32.5324,Hotel China
108,San Cristobal,VE,89.6,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
109,Cape Town,ZA,66.0,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
110,Faya,SA,68.0,clear sky,18.3851,42.4509,مقبرة ال مجمل
112,Saint-Georges,GD,81.12,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
115,Safaga,EG,77.0,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
117,Salalah,OM,78.8,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
118,Cabedelo,BR,82.4,few clouds,-6.9811,-34.8339,Hotel Pigalle
119,Silao,MX,86.0,few clouds,20.9333,-101.4333,Wyndham Garden Silao Bajio Airport
120,Roma,US,77.0,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
121,Georgetown,MY,80.6,few clouds,5.4112,100.3354,Cititel Penang
122,Touros,BR,84.2,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
124,San Quintin,MX,68.68,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
