City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,48.0,84,0,14.65,clear sky
1,Nara,JP,34.6851,135.8049,48.0,81,20,8.05,few clouds
2,Hermanus,ZA,-34.4187,19.2345,57.0,92,6,3.11,clear sky
3,Ushuaia,AR,-54.8,-68.3,44.6,70,40,25.32,scattered clouds
4,Calvinia,ZA,-31.4707,19.776,70.63,24,23,2.8,few clouds
5,Atuona,PF,-9.8,-139.0333,80.96,73,14,16.31,few clouds
6,Rumphi,MW,-11.0186,33.8575,60.44,96,53,2.8,broken clouds
7,Broome,US,42.2506,-75.833,70.0,35,1,8.05,clear sky
8,Bud,US,39.447,-86.1758,64.4,82,40,13.8,scattered clouds
9,Viedma,AR,-40.8135,-62.9967,71.6,41,3,12.64,clear sky
10,Carrigaline,IE,51.8117,-8.3986,45.0,76,75,9.22,broken clouds
11,Pevek,RU,69.7008,170.3133,-16.71,93,64,1.81,broken clouds
12,Port Macquarie,AU,-31.4333,152.9167,59.0,99,31,1.99,scattered clouds
13,Butaritari,KI,3.0707,172.7902,82.15,79,46,16.28,scattered clouds
14,Saint George,US,37.1041,-113.5841,82.0,11,1,20.71,clear sky
15,Napier,NZ,-39.4833,176.9167,64.0,90,96,1.01,overcast clouds
16,Albany,US,42.6001,-73.9662,72.0,35,40,3.44,scattered clouds
17,Ponta Do Sol,PT,32.6667,-17.1,62.01,77,97,3.0,overcast clouds
18,Port Elizabeth,ZA,-33.918,25.5701,60.8,100,90,6.91,overcast clouds
19,Urrao,CO,6.3152,-76.1342,64.67,89,99,2.48,overcast clouds
20,Tasiilaq,GL,65.6145,-37.6368,19.4,73,13,6.91,few clouds
21,Pangoa,PE,-12.1167,-73.0,80.02,76,99,2.44,overcast clouds
22,Rikitea,PF,-23.1203,-134.9692,76.5,64,17,2.66,few clouds
23,Makakilo City,US,21.3469,-158.0858,77.0,50,20,11.5,few clouds
24,Paragominas,BR,-2.9667,-47.4833,77.63,81,97,3.96,light rain
25,Hobart,AU,-42.8794,147.3294,51.8,58,40,13.8,scattered clouds
26,Ajdabiya,LY,30.7554,20.2263,64.08,54,96,15.66,overcast clouds
27,Port Alfred,ZA,-33.5906,26.891,66.49,86,73,4.88,broken clouds
